Fighter 1,Fighter 1 KD,Fighter 1 Sig STR,Fighter 1 Sig Str Percent,Fighter 1 TD,Fighter 1 TD Percent,Fighter 1 Sub AttemptFighter 1 Rev,Fighter 1 Control,Fighter 1 Significant Head Strikes,Fighter 1 Significant Body Strikes,Fighter 1 Significant Leg Strikes,Fight 1 Significatn Distane Strikes,Fighter 1 Significant Clinch Strikes,Fighter 1 Significant Ground Strikes,Fighter 2,Fighter 2 KD,Fighter 2 Sig STR,Fighter 2 Sig Str Percent,Fighter 2 TD,Fighter 2 TD Percent,Fighter 2 Sub AttemptFighter 2 Rev,Fighter 2 Control,Fighter 2 Significant Head Strikes,Fighter 2 Significant Body Strikes,Fighter 2 Significant Leg Strikes,Fight 2 Significatn Distane Strikes,Fighter 2 Significant Clinch Strikes,Fighter 2 Significant Ground Strikes
Alexander Volkanovski,0,47 of 107,43%,47 of 107,0 of 0,---,0,0,0:00,21 of 68,11 of 22,15 of 17,44 of 102,3 of 5,0 of 0,Ilia Topuria,1,35 of 77,35 of 77,45%,36 of 78,0 of 0,---,0,0,0:03,17 of 53,12 of 16,6 of 8,28 of 70,4 of 4,3 of 3
Robert Whittaker,0,95 of 175,54%,95 of 175,0 of 1,0%,0,0,0:00,63 of 143,4 of 4,28 of 28,95 of 172,0 of 3,0 of 0,Paulo Costa,0,67 of 151,67 of 151,44%,67 of 151,0 of 0,---,0,0,0:00,39 of 117,8 of 12,20 of 22,67 of 151,0 of 0,0 of 0
Geoff Neal,0,46 of 89,51%,57 of 102,0 of 0,---,0,0,3:45,25 of 64,10 of 13,11 of 12,38 of 79,8 of 10,0 of 0,Ian Machado Garry,0,67 of 135,67 of 135,49%,80 of 148,0 of 0,---,0,0,0:12,39 of 96,18 of 27,10 of 12,65 of 133,2 of 2,0 of 0
Merab Dvalishvili,0,74 of 172,43%,167 of 273,5 of 11,45%,1,0,4:23,44 of 128,20 of 34,10 of 10,51 of 134,13 of 24,10 of 14,Henry Cejudo,0,29 of 78,29 of 78,37%,54 of 106,1 of 7,14%,0,0,2:05,13 of 54,5 of 11,11 of 13,24 of 68,5 of 10,0 of 0
Anthony Hernandez,0,34 of 77,44%,39 of 82,3 of 14,21%,2,0,4:05,28 of 68,4 of 6,2 of 3,24 of 65,8 of 10,2 of 2,Roman Kopylov,0,35 of 57,35 of 57,61%,41 of 63,0 of 0,---,0,0,0:00,21 of 43,8 of 8,6 of 6,34 of 56,1 of 1,0 of 0
Amanda Lemos,1,41 of 80,51%,47 of 86,2 of 2,100%,0,0,4:02,26 of 62,8 of 10,7 of 8,24 of 56,1 of 2,16 of 22,Mackenzie Dern,0,21 of 54,21 of 54,38%,50 of 85,1 of 3,33%,0,2,6:00,21 of 51,0 of 2,0 of 1,13 of 42,0 of 1,8 of 11
Marcos Rogerio de Lima,1,33 of 46,71%,63 of 78,1 of 3,33%,0,0,3:26,19 of 31,2 of 2,12 of 13,22 of 32,1 of 1,10 of 13,Junior Tafa,0,11 of 27,11 of 27,40%,17 of 33,0 of 0,---,0,0,0:00,9 of 24,1 of 2,1 of 1,10 of 26,0 of 0,1 of 1
Rinya Nakamura,0,38 of 70,54%,73 of 114,3 of 3,100%,0,0,13:03,30 of 61,6 of 7,2 of 2,7 of 9,1 of 1,30 of 60,Carlos Vera,0,12 of 25,12 of 25,48%,55 of 79,0 of 0,---,0,0,0:00,7 of 19,1 of 2,4 of 4,6 of 15,1 of 2,5 of 8
Zhang Mingyang,1,17 of 28,60%,17 of 28,0 of 0,---,0,0,0:02,13 of 19,2 of 5,2 of 4,14 of 25,0 of 0,3 of 3,Brendson Ribeiro,0,14 of 31,14 of 31,45%,14 of 31,0 of 0,---,0,0,0:00,14 of 31,0 of 0,0 of 0,14 of 31,0 of 0,0 of 0
Josh Quinlan,0,39 of 90,43%,39 of 90,0 of 1,0%,0,0,0:00,22 of 68,14 of 18,3 of 4,39 of 90,0 of 0,0 of 0,Danny Barlow,1,95 of 185,95 of 185,51%,96 of 186,0 of 0,---,0,0,0:13,77 of 161,13 of 18,5 of 6,88 of 175,1 of 2,6 of 8
Oban Elliott,0,70 of 111,63%,136 of 188,3 of 5,60%,0,0,8:58,60 of 96,7 of 11,3 of 4,33 of 65,3 of 3,34 of 43,Val Woodburn,1,23 of 61,23 of 61,37%,30 of 70,2 of 2,100%,0,1,1:56,19 of 55,2 of 4,2 of 2,15 of 46,5 of 10,3 of 5
Andrea Lee,0,36 of 102,35%,59 of 126,2 of 3,66%,1,0,0:42,14 of 72,13 of 19,9 of 11,32 of 96,3 of 3,1 of 3,Miranda Maverick,0,66 of 136,66 of 136,48%,106 of 180,3 of 8,37%,0,0,3:05,28 of 89,16 of 25,22 of 22,60 of 128,6 of 8,0 of 0
Jack Hermansson,0,121 of 235,51%,188 of 327,1 of 2,50%,0,0,3:08,74 of 174,15 of 23,32 of 38,111 of 219,5 of 6,5 of 10,Joe Pyfer,0,92 of 250,92 of 250,36%,95 of 254,0 of 6,0%,0,0,0:50,56 of 196,25 of 34,11 of 20,92 of 250,0 of 0,0 of 0
Dan Ige,1,11 of 19,57%,11 of 19,0 of 0,---,0,0,0:01,4 of 11,2 of 3,5 of 5,10 of 18,0 of 0,1 of 1,Andre Fili,0,8 of 33,8 of 33,24%,8 of 33,0 of 0,---,0,0,0:00,7 of 28,1 of 5,0 of 0,8 of 33,0 of 0,0 of 0
Robert Bryczek,0,32 of 133,24%,41 of 143,0 of 0,---,0,0,0:30,19 of 103,10 of 24,3 of 6,30 of 127,2 of 6,0 of 0,Ihor Potieria,1,67 of 168,67 of 168,39%,77 of 181,0 of 4,0%,0,0,2:37,47 of 139,5 of 12,15 of 17,61 of 156,6 of 12,0 of 0
Brad Tavares,0,37 of 84,44%,42 of 90,0 of 0,---,0,0,0:00,28 of 70,4 of 9,5 of 5,36 of 83,1 of 1,0 of 0,Gregory Rodrigues,0,71 of 123,71 of 123,57%,79 of 135,2 of 6,33%,0,0,3:18,53 of 102,8 of 9,10 of 12,64 of 114,7 of 9,0 of 0
Michael Johnson,0,61 of 112,54%,80 of 138,4 of 8,50%,0,0,6:02,16 of 47,36 of 52,9 of 13,58 of 109,0 of 0,3 of 3,Darrius Flowers,0,33 of 64,33 of 64,51%,52 of 86,0 of 2,0%,0,0,0:43,10 of 31,9 of 12,14 of 21,29 of 60,1 of 1,3 of 3
